1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,1
3,1,0,0,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,2,7,0
1,0,3,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,4,5,1
5,0,3,0,1,1,0,0,0,0,1,4,4,0,0,0,0,0,0,7,17,0
3,5,3,0,1,1,0,0,0,0,1,4,4,5,0,0,0,0,0,12,22,1
1,5,3,0,1,1,0,0,0,0,1,4,4,5,3,0,0,0,0,12,25,2
2,5,3,0,1,1,0,1,0,0,1,4,4,5,3,2,0,0,0,13,27,1
5,5,3,0,1,1,2,1,0,0,1,4,4,5,3,3,0,0,0,15,34,0
6,5,3,5,1,1,2,1,0,0,1,4,4,5,3,3,3,0,0,30,37,2
2,5,3,5,1,1,2,1,6,0,1,4,4,5,3,3,3,2,0,36,39,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,5,1
1,3,0,0,1,0,0,0,0,0,5,2,0,0,0,0,0,0,0,4,7,1
3,3,0,0,1,1,0,0,0,0,5,2,4,0,0,0,0,0,0,7,11,0
1,3,3,0,1,1,0,0,0,0,5,2,4,3,0,0,0,0,0,16,14,2
2,3,3,0,1,1,0,1,0,0,5,2,4,3,3,0,0,0,0,17,23,1
3,3,3,0,1,1,2,1,0,0,5,2,4,3,3,4,0,0,0,19,27,0
1,3,3,3,1,1,2,1,0,0,5,2,4,3,3,4,4,0,0,34,31,2
4,3,3,3,1,1,2,1,1,0,5,2,4,3,3,4,4,5,0,37,36,2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
5,5,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,5,5,0
2,5,5,0,0,0,0,0,0,0,2,3,6,0,0,0,0,0,0,20,11,1
2,5,5,0,2,0,0,0,0,0,2,3,6,3,0,0,0,0,0,22,14,1
3,5,5,0,2,2,0,0,0,0,2,3,6,3,5,0,0,0,0,28,19,1
